1535,The Invisible Man,1984,smb://GLASSES/Movies/The Invisible Man 2020 1080p WEBRip x264-RARBG/
1539,The Lighthouse,1988,smb://GLASSES/Movies/The Lighthouse 2019 WEB-DL x264-FGT/
1544,The Mortuary Collection,1993,smb://GLASSES/Movies/The Mortuary Collection 2019 1080p BluRay H264 AAC-RARBG/
1545,The New Mutants,1994,smb://GLASSES/Movies/The New Mutants 2020 720p BluRay H264 AAC-RARBG/
1575,Old,2026,smb://GLASSES/Movies/Old.2021.1080p.BluRay.H264.AAC-RARBG/
1578,The Toxic Avenger,2031,smb://GLASSES/Movies/The.Toxic.Avenger.1984.1080p.BluRay.x265-RARBG/
1579,Prey,2032,smb://GLASSES/Movies/Prey.2022.1080p.DSNP.WEBRip.DDP5.1.Atmos.x264-CM/
1582,Man Bites Dog,2035,smb://GLASSES/Movies/Man Bites Dog (1992)/
1583,AVP: Alien vs. Predator,2036,smb://GLASSES/Movies/AVP Alien vs Predator (2004)/
1584,Nope,2037,smb://GLASSES/Movies/Nope.2022.1080p.AMZN.WEBRip.DDP5.1.Atmos.x264-NOGRP/
1586,Men,2039,smb://GLASSES/Movies/Men.2022.1080p.WEBRip.x264-RARBG/
1592,Shaun of the Dead,2048,smb://GLASSES/Movies/Shaun.of.the.Dead.2004.REMASTERED.PROPER.1080p.BluRay.x265-RARBG/
1595,An American Werewolf in London,2051,smb://GLASSES/Movies/An.American.Werewolf.In.London.1981.ARROW.REMASTERED.1080p.BluRay.x265-RARBG/
1596,Dead & Buried,2052,smb://GLASSES/Movies/Dead.and.Buried.1981.REMASTERED.1080p.BluRay.x265-RARBG/
1598,Event Horizon,2054,smb://GLASSES/Movies/Event.Horizon.1997.SHOUT.REMASTERED.1080p.BluRay.x265-RARBG/
1600,Fallen,2057,smb://GLASSES/Movies/Fallen (1998)/
1601,Hellraiser,2058,smb://GLASSES/Movies/Hellraiser.2022.1080p.WEB.H264-NAISU[rarbg]/
1603,Noroi: The Curse,2062,smb://GLASSES/Movies/Noroi (2005)/
1609,V/H/S/99,2070,smb://GLASSES/Movies/V.H.S.99.2022.1080p.WEBRip.x265-RARBG/
1617,Begotten,2078,smb://GLASSES/Movies/Begotten (1991)/
1625,Day Shift,2086,smb://GLASSES/Movies/Day.Shift.2022.1080p.WEBRip.x265-RARBG/
1629,Evil Dead Rise,2090,smb://GLASSES/Movies/Evil.Dead.Rise.2023.1080p.MA.WEBRip.DDP5.1.Atmos.x264-CM/
1632,Flatliners,2093,smb://GLASSES/Movies/Flatliners.1990.REMASTERED.1080p.BluRay.x265-RARBG/
1638,Jacob's Ladder,2099,smb://GLASSES/Movies/Jacob's Ladder/
1652,No One Will Save You,2113,smb://GLASSES/Movies/No.One.Will.Save.You.2023.1080p.WEB.h264-ETHEL[TGx]/
1668,Stalker,2129,smb://GLASSES/Movies/Stalker (1979)/
1683,The Midnight Meat Train,2136,smb://GLASSES/Movies/The.Midnight.Meat.Train.UNRATED.2008.1080p.BluRay.AAC.x264-tomcat12[ETRG]/
1688,Twin Peaks: Fire Walk with Me,2141,smb://GLASSES/Movies/Twin Peaks Fire Walk with Me/
1689,V/H/S/85,2142,smb://GLASSES/Movies/V.H.S.85.2023.1080p.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx]/
